,name,height,weight,collage,born,birth_city,birth_state
0,Al Harrington,206,104,,1980,Orange,New Jersey
1,J.R. Henderson,206,104,,1980,,
2,Bruno Sundov,218,99,,1980,Split,Croatia
3,Jonathan Bender,211,91,,1981,Picayune,Mississippi
4,Dalibor Bagaric,216,115,,1980,Croatia,
5,Jamal Crawford,196,90,University of Michigan,1980,Seattle,Washington
6,Keyon Dooling,190,88,University of Missouri,1980,Ft. Lauderdale,Florida
7,Donnell Harvey,203,99,University of Florida,1980,Shellman,Georgia
8,Darius Miles,206,95,,1981,Belleville,Illinois
9,Mike Miller,203,98,University of Florida,1980,Mitchell,South Dakota
10,Olumide Oyedeji,208,108,,1981,Ibadan,Nigeria
11,Quentin Richardson,198,101,DePaul University,1980,Chicago,Illinois
12,DeShawn Stevenson,196,95,,1981,Fresno,California
13,Gilbert Arenas,190,86,University of Arizona,1982,Los Angeles,California
14,Brandon Armstrong,196,85,Pepperdine University,1980,San Francisco,California
15,Jamison Brewer,193,83,Auburn University,1980,East Point,Georgia
16,Kedrick Brown,201,100,Okaloosa-Walton Community College,1981,Zachary,Louisiana
17,Kwame Brown,211,122,,1982,Charleston,South Carolina
18,Tyson Chandler,216,108,,1982,Hanford,California
19,Eddy Curry,213,133,,1982,Harvey,Illinois
20,Samuel Dalembert,211,115,Seton Hall University,1981,Port-Au-Prince,Haiti
21,DeSagana Diop,213,136,,1982,Dakar,Senegal
22,Joseph Forte,193,87,University of North Carolina,1981,Atlanta,Georgia
23,Antonis Fotsis,208,99,,1981,Athens,Greece
24,Pau Gasol,213,113,,1980,Barcelona,Spain
25,Eddie Griffin,208,99,Seton Hall University,1982,Philadelphia,Pennsylvania
26,Steven Hunter,213,99,DePaul University,1981,Chicago,Illinois
27,Richard Jefferson,201,105,University of Arizona,1980,Los Angeles,California
28,Andrei Kirilenko,206,99,,1981,Izhevsk,Russia
29,Troy Murphy,211,111,University of Notre Dame,1980,Morristown,New Jersey
30,Tony Parker,188,83,,1982,Bruges,Belgium
31,Vladimir Radmanovic,208,102,,1980,Trebinje Srpska-Bih,Bosnia and Herzegovina
32,Zach Randolph,206,117,Michigan State University,1981,Marion,Indiana
33,Jason Richardson,198,99,Michigan State University,1981,Saginaw,Michigan
34,Kenny Satterfield,188,84,University of Cincinnati,1981,New York,New York
35,Bobby Simmons,201,95,DePaul University,1980,Chicago,Illinois
36,Leon Smith,208,106,,1980,Chicago,Illinois
37,Gerald Wallace,201,97,University of Alabama,1982,Sylacauga,Alabama
38,Robert Archibald,211,113,University of Illinois at Urbana-Champaign,1980,Paisley,United Kingdom
39,Carlos Boozer,206,117,Duke University,1981,Aschaffenburg,Germany
40,J.R. Bremer,206,117,,1981,,
41,Caron Butler,201,103,University of Connecticut,1980,Racine,Wisconsin
42,Reggie Evans,203,111,University of Iowa,1980,Pensacola,Florida
43,Drew Gooden,208,113,University of Kansas,1981,Oakland,California
44,Marcus Haislip,208,104,University of Tennessee,1980,Lewisburg,Tennessee
45,Adam Harrington,196,90,Auburn University,1980,Bernardston,Massachusetts
46,Junior Harrington,193,81,Wingate University,1980,Wagram,North Carolina
47,Nene Hilario,211,113,,1982,Sao Carlos,Brazil
48,Casey Jacobsen,198,97,Stanford University,1981,Glendora,California
49,Chris Jefferies,203,102,"California State University, Fresno",1980,Fresno,California
50,Jared Jeffries,211,104,Indiana University,1981,Bloomington,Indiana
51,Tito Maddox,193,86,"California State University, Fresno",1981,Compton,California
52,Roger Mason,196,90,University of Virginia,1980,Washington,District of Columbia
53,Yao Ming*,229,140,,1980,Shanghai,China
54,Bostjan Nachbar,206,100,,1980,Slovenj Gradec,Slovenia
55,Smush Parker,193,86,Fordham University,1981,New York,New York
56,Tayshaun Prince,206,96,University of Kentucky,1980,Compton,California
57,Kareem Rush,198,97,University of Missouri,1980,Kansas City,Missouri
58,Jamal Sampson,211,106,University of California,1983,Inglewood,California
59,Tamar Slay,203,97,Marshall University,1980,Beckley,West Virginia
60,Amar'e Stoudemire,208,111,,1982,Lake Wales,Florida
61,Nikoloz Tskitishvili,213,102,,1983,Tbilisi,Georgia
62,Jiri Welsch,201,94,,1980,Pardubice,Czech Republic
63,Chris Wilcox,208,100,University of Maryland,1982,Raleigh,North Carolina
64,Qyntel Woods,203,100,Northeast Mississippi Community College,1981,Memphis,Tennessee
65,Vincent Yarbrough,201,95,University of Tennessee,1981,Cleveland,Tennessee
66,Carmelo Anthony,203,108,Syracuse University,1984,New York,New York
67,Marcus Banks,188,90,"University of Nevada, Las Vegas",1981,Las Vegas,Nevada
68,Leandro Barbosa,190,87,,1982,San Paulo,Brazil
69,Jerome Beasley,208,107,University of North Dakota,1980,Compton,California
70,Troy Bell,185,81,Boston College,1980,Minneapolis,Minnesota
71,Steve Blake,190,78,University of Maryland,1980,Hollywood,Florida
72,Keith Bogans,196,97,University of Kentucky,1980,Alexandria,Virginia
73,Curtis Borchardt,213,108,Stanford University,1980,Buffalo,New York
74,Chris Bosh,211,106,Georgia Institute of Technology,1984,Dallas,Texas
75,Zarko Cabarkapa,211,106,,1981,Zrenjanin,Serbia
76,Matt Carroll,198,96,University of Notre Dame,1980,Pittsburgh,Pennsylvania
77,Brian Cook,206,106,University of Illinois at Urbana-Champaign,1980,Lincoln,Illinois
78,Omar Cook,185,86,St. John's University,1982,Brooklyn,New York
79,Marquis Daniels,198,90,Auburn University,1981,Jasper,Florida
80,Boris Diaw,203,113,,1982,Cormeille-en-Parisis,France
81,Ronald Dupree,201,94,Louisiana State University,1981,Biloxi,Mississippi
82,Ndudi Ebi,206,90,,1984,London,United Kingdom
83,Hiram Fuller,206,108,"California State University, Fresno",1981,East St. Louis,Missouri
84,Reece Gaines,198,92,University of Louisville,1981,Madison,Wisconsin
85,Alex Garcia,190,99,,1980,Orlandia,Brazil
86,Willie Green,193,90,University of Detroit Mercy,1981,Detroit,Michigan
87,Udonis Haslem,203,106,University of Florida,1980,Miami,Florida
88,Jarvis Hayes,201,99,University of Georgia,1981,Atlanta,Georgia
89,Kirk Hinrich,193,86,University of Kansas,1981,Sioux City,Iowa
90,Josh Howard,201,95,Wake Forest University,1980,Winston-Salem,North Carolina
91,Brandon Hunter,201,117,Ohio University,1980,Cincinnati,Ohio
92,LeBron James,203,113,,1984,Akron,Ohio
93,Linton Johnson,203,92,Tulane University,1980,Chicago,Illinois
94,Chris Kaman,213,120,Central Michigan University,1982,Wyoming,Michigan
95,Jason Kapono,203,96,"University of California, Los Angeles",1981,Long Beach,California
96,Kyle Korver,201,96,Creighton University,1981,Lakewood,California
97,Maciej Lampe,211,124,,1985,Lodz,Poland
98,Raul Lopez,185,77,,1980,Vic,Spain
99,Darko Milicic,213,113,,1985,Novi Sad,Serbia
100,Travis Outlaw,206,95,,1984,Starkville,Mississippi
101,Zaza Pachulia,211,122,,1984,Tbilisi,Georgia
102,Sasha Pavlovic,211,122,,1984,,
103,Desmond Penigar,201,111,Utah State University,1981,Upland,California
104,Kirk Penney,196,99,University of Wisconsin,1980,Auckland,New Zealand
105,Kendrick Perkins,208,122,,1984,Nederland,Texas
106,Mickael Pietrus,198,97,,1982,Les Abymes,Guadeloupe
107,Zoran Planinic,201,88,,1982,Mostar,Bosnia and Herzegovina
108,Luke Ridnour,188,79,University of Oregon,1981,Coeur d'Alene,Idaho
109,Theron Smith,203,102,Ball State University,1980,Bartow,Florida
110,Mike Sweetney,203,124,Georgetown University,1982,Oxon Hill,Maryland
111,Slavko Vranes,226,124,,1983,Belgrade,Serbia
112,Dwyane Wade,193,99,Marquette University,1982,Chicago,Illinois
113,Luke Walton,203,106,University of Arizona,1980,San Diego,California
114,David West,206,113,Xavier University,1980,Teaneck,New Jersey
115,Tony Allen,193,96,Oklahoma State University,1982,Chicago,Illinois
116,Rafael Araujo,211,127,Brigham Young University,1980,Curitiba,Brazil
117,Trevor Ariza,203,97,"University of California, Los Angeles",1985,Miami,Florida
118,Andre Barrett,178,78,Seton Hall University,1982,Bronx,New York
119,Andris Biedrins,211,108,,1986,Riga,Latvia
120,Matt Bonner,208,106,University of Florida,1980,Concord,New Hampshire
121,Antonio Burks,185,90,University of Memphis,1980,Memphis,Tennessee
122,Jackie Butler,208,113,,1985,McComb,Mississippi
123,Lionel Chalmers,183,81,Xavier University,1980,Albany,New York
124,Josh Childress,203,95,Stanford University,1983,Harbor City,California
125,Nick Collison,208,115,University of Kansas,1980,Orange City,Iowa
126,Erik Daniels,203,97,University of Kentucky,1982,Cincinnati,Ohio
127,Carlos Delfino,198,104,,1982,Santa Fe,Argentina
128,Luol Deng,206,99,Duke University,1985,Wow,South Sudan
129,Chris Duhon,185,83,Duke University,1982,Mamou,Louisiana
130,John Edwards,213,124,Kent State University,1981,Warren,Ohio
131,Andre Emmett,196,104,Texas Tech University,1982,Dallas,Texas
132,Luis Flores,188,90,Manhattan College,1981,San Pedro de Macoris,Dominican Republic
133,Matt Freije,208,108,Vanderbilt University,1981,Overland Park,Kansas
134,Ben Gordon,190,90,University of Connecticut,1983,London,United Kingdom
135,Devin Harris,190,87,University of Wisconsin,1983,Milwaukee,Wisconsin
136,David Harrison,213,127,University of Colorado,1982,Nashville,Tennessee
137,Dwight Howard,211,120,,1985,Atlanta,Georgia
138,Kris Humphries,206,106,University of Minnesota,1985,Minneapolis,Minnesota
139,Andre Iguodala,198,97,University of Arizona,1984,Springfield,Illinois
140,Didier Ilunga-Mbenga,198,97,,1984,,
141,Royal Ivey,190,90,University of Texas at Austin,1981,Harlem,New York
142,Al Jefferson,208,131,,1985,Monticello,Mississippi
143,Mario Kasun,216,117,,1980,Split,Croatia
144,Viktor Khryapa,206,95,,1982,Kiev,Ukraine
145,Nenad Krstic,213,108,,1983,Kraljevo,Serbia
146,Shaun Livingston,201,87,,1985,Peoria,Illinois
147,Jameer Nelson,183,86,Saint Joseph's University,1982,Chester,Pennsylvania
148,Emeka Okafor,208,114,University of Connecticut,1982,Houston,Texas
149,Pavel Podkolzin,226,117,,1985,Novosibirsk,Russia
150,Peter John,226,117,,1985,,
151,Justin Reed,203,108,University of Mississippi,1982,Jackson,Mississippi
152,Jared Reiner,211,115,University of Iowa,1982,Tripp,South Dakota
153,Bernard Robinson,198,95,University of Michigan,1980,Washington,District of Columbia
154,Quinton Ross,198,88,Southern Methodist University,1981,Dallas,Texas
155,Ha Seung-Jin,221,138,,1985,Seoul,Republic of Korea
156,Kirk Snyder,198,102,"University of Nevada, Reno",1983,Los Angeles,California
157,Pape Sow,208,113,"California State University, Fullerton",1981,Dakar,Senegal
158,Robert Swift,213,111,,1985,Bakersfield,California
159,Yuta Tabuse,175,74,Brigham Young University Hawaii,1980,Yokohama,Japan
160,Sebastian Telfair,183,74,,1985,Brooklyn,New York
161,Beno Udrih,190,92,,1982,Celje,Slovenia
162,Anderson Varejao,208,123,,1982,Santa Teresa,Brazil
163,Jackson Vroman,208,99,Iowa State University,1981,Laguna,California
164,Sasha Vujacic,201,88,,1984,Maribor,Slovenia
165,Delonte West,193,81,Saint Joseph's University,1983,Washington,District of Columbia
166,Dorell Wright,206,92,,1985,Los Angeles,California
167,Alex Acker,196,83,Pepperdine University,1983,Compton,California
168,Alan Anderson,198,99,Michigan State University,1982,Minneapolis,Minnesota
169,Martynas Andriuskevicius,218,108,,1986,Kaunas,Lithuania
170,Earl Barron,213,113,University of Memphis,1981,Clarksdale,Mississippi
171,Eddie Basden,196,97,University of North Carolina at Charlotte,1983,New York,New York
172,Brandon Bass,203,113,Louisiana State University,1985,Baton Rouge,Louisiana
173,Esteban Batista,208,122,,1983,Montevideo,Uruguay
174,Andray Blatche,211,106,,1986,Syracuse,New York
175,Andrew Bogut,213,117,University of Utah,1984,Melbourne,Australia
176,Andrew Bynum,213,129,,1987,Plainsboro,New Jersey
177,Will Bynum,183,83,Georgia Institute of Technology,1983,Chicago,Illinois
178,Jose Calderon,190,90,,1981,Villanueva de la Serena,Spain
179,Travis Diener,185,79,Marquette University,1982,Fond du Lac,Wisconsin
180,Ike Diogu,203,113,Arizona State University,1983,Buffalo,New York
181,Monta Ellis,190,83,,1985,Jackson,Mississippi
182,Daniel Ewing,190,83,Duke University,1983,Milton,Florida
183,Noel Felix,206,102,"California State University, Fresno",1981,Los Angeles,California
184,Raymond Felton,185,92,University of North Carolina,1984,Marion,South Carolina
185,Gerald Fitch,190,85,University of Kentucky,1982,Columbus,Georgia
186,Channing Frye,211,115,University of Arizona,1983,White Plains,New York
187,Deng Gai,206,113,Fairfield University,1982,Wow,South Sudan
188,Francisco Garcia,201,88,University of Louisville,1981,Santo Domingo,Dominican Republic
189,Ryan Gomes,201,113,Providence College,1982,Waterbury,Connecticut
190,Joey Graham,201,102,Oklahoma State University,1982,Wilmington,Delaware
191,Stephen Graham,198,97,Oklahoma State University,1982,Wilmington,Delaware
192,Danny Granger,206,100,University of New Mexico,1983,New Orleans,Louisiana
193,Devin Green,201,95,Hampton University,1982,Columbus,Ohio
194,Gerald Green,201,92,,1986,Houston,Texas
195,Orien Greene,193,94,University of Louisiana at Lafayette,1982,Gainesville,Florida
196,Chuck Hayes,198,108,University of Kentucky,1983,San Leandro,California
197,Luther Head,190,83,University of Illinois at Urbana-Champaign,1982,Chicago,Illinois
198,Julius Hodge,201,95,North Carolina State University,1983,New York,New York
199,Jarrett Jack,190,90,Georgia Institute of Technology,1983,Fort Washington,Maryland
200,Amir Johnson,206,108,,1987,Los Angeles,California
201,Linas Kleiza,203,111,University of Missouri,1985,Kaunas,Lithuania
202,Yaroslav Korolev,206,92,,1987,Moscow,Russia
203,Arvydas Macijauskas,193,97,,1980,Klaipeda,Lithuania
204,Rawle Marshall,206,86,Oakland University,1982,Georgetown,Guyana
205,Jason Maxiell,201,117,University of Cincinnati,1983,Chicago,Illinois
206,Sean May,206,120,University of North Carolina,1984,Chicago,Illinois
207,Rashad McCants,193,93,University of North Carolina,1984,Asheville,North Carolina
208,Aaron Miles,185,79,University of Kansas,1983,Portland,Oregon
209,C.J. Miles,185,79,,1983,,
210,Sergei Monia,203,99,,1983,Saratov,Russia
211,Andre Owens,193,90,University of Houston,1980,Indianapolis,Indiana
212,Chris Paul,183,79,Wake Forest University,1985,Winston-Salem,North Carolina
213,Johan Petro,213,112,,1986,Paris,France
214,Josh Powell,206,102,North Carolina State University,1983,Charleston,South Carolina
215,Ronnie Price,188,86,Utah Valley State College,1983,Friendswood,Texas
216,Shavlik Randolph,208,108,Duke University,1983,Raleigh,North Carolina
217,Lawrence Roberts,206,108,Mississippi State University,1982,Houston,Texas
218,Nate Robinson,175,81,University of Washington,1984,Seattle,Washington
219,Melvin Sanders,196,95,Oklahoma State University,1981,Liberal,Kansas
220,Luke Schenscher,216,115,Georgia Institute of Technology,1982,Hope Forest,Australia
221,Wayne Simien,206,115,University of Kansas,1983,Leavenworth,Kansas
222,James Singleton,203,97,Murray State University,1981,Chicago,Illinois
223,Salim Stoudamire,185,81,University of Arizona,1982,Portland,Oregon
224,Chris Taft,208,117,University of Pittsburgh,1985,Brooklyn,New York
225,Donell Taylor,198,81,University of Alabama at Birmingham,1982,Washington,District of Columbia
226,Dijon Thompson,201,88,"University of California, Los Angeles",1983,Los Angeles,California
227,Ronny Turiaf,208,112,Gonzaga University,1983,Le Robert,Martinique
228,Charlie Villanueva,211,105,University of Connecticut,1984,Queens,New York
229,Von Wafer,196,95,Florida State University,1985,Homer,Louisiana
230,Matt Walsh,198,92,University of Florida,1982,Holland,Pennsylvania
231,Hakim Warrick,206,99,Syracuse University,1982,Philadelphia,Pennsylvania
232,Robert Whaley,208,117,Walsh University,1982,Benton Harbor,Michigan
233,Deron Williams,190,90,University of Illinois at Urbana-Champaign,1984,Parkersburg,West Virginia
234,Marvin Williams,185,89,University of Alabama,1982,Jackson,Mississippi
235,Antoine Wright,201,95,Texas A&M University,1984,West Covina,California
236,Derrick Zimmerman,190,88,Mississippi State University,1981,Monroe,Louisiana
237,Hassan Adams,193,99,University of Arizona,1984,Inglewood,California
238,Maurice Ager,196,91,Michigan State University,1984,Detroit,Michigan
239,LaMarcus Aldridge,211,117,University of Texas at Austin,1985,Dallas,Texas
240,Lou Amundson,206,99,"University of Nevada, Las Vegas",1982,Ventura,California
241,Hilton Armstrong,211,106,University of Connecticut,1984,Peekskill,New York
242,James Augustine,208,106,University of Illinois at Urbana-Champaign,1984,Midlothian,Illinois
243,Kelenna Azubuike,196,99,University of Kentucky,1983,London,United Kingdom
244,Renaldo Balkman,203,94,University of South Carolina,1984,Staten Island,New York
245,J.J. Barea,203,94,,1984,,
246,Andrea Bargnani,213,111,,1985,Rome,Italy
247,Will Blalock,183,92,Iowa State University,1983,Boston,Massachusetts
248,Josh Boone,208,107,University of Connecticut,1984,Mount Airy,Maryland
249,Cedric Bozeman,198,93,"University of California, Los Angeles",1983,Los Angeles,California
250,Andre Brown,206,111,DePaul University,1981,Chicago,Illinois
251,Shannon Brown,193,92,Michigan State University,1985,Maywood,Illinois
252,Rodney Carney,201,92,University of Memphis,1984,Memphis,Tennessee
253,Mardy Collins,198,99,Temple University,1984,Philadelphia,Pennsylvania
254,Will Conroy,188,88,University of Washington,1982,Portland,Oregon
255,Paul Davis,211,122,Michigan State University,1984,Detroit,Michigan
256,Yakhouba Diawara,201,102,Pepperdine University,1982,Paris,France
257,Quincy Douby,190,79,Rutgers University,1984,Brooklyn,New York
258,Jordan Farmar,188,81,"University of California, Los Angeles",1986,Los Angeles,California
259,Desmon Farmer,196,99,University of Southern California,1981,Flint,Michigan
260,Randy Foye,193,96,Villanova University,1983,Newark,New Jersey
261,Rudy Gay,203,104,University of Connecticut,1986,Brooklyn,New York
262,Mickael Gelabale,201,97,,1983,Pointe Noire,Guadeloupe
263,Daniel Gibson,188,86,University of Texas at Austin,1986,Houston,Texas
264,Andreas Glyniadakis,216,127,,1981,Hania,Greece
265,Mike Hall,203,104,George Washington University,1984,Chicago,Illinois
266,Robert Hite,188,83,University of Miami,1984,Cincinnati,Ohio
267,Ryan Hollins,213,108,"University of California, Los Angeles",1984,Pasadena,California
268,Mile Ilic,216,104,,1984,Tuzla,Bosnia and Herzegovina
269,Ersan Ilyasova,208,106,,1987,Eskisehir,Turkey
270,Alexander Johnson,206,108,Florida State University,1983,Albany,Georgia
271,Solomon Jones,208,104,University of South Florida,1984,Eustis,Florida
272,Tarence Kinsey,198,83,University of South Carolina,1984,Tampa,Florida
273,James Lang,208,129,,1983,Mobile,Alabama
274,Kyle Lowry,183,92,Villanova University,1986,Philadelphia,Pennsylvania
275,Renaldo Major,201,90,"California State University, Fresno",1982,Chicago,Illinois
276,Damir Markota,208,102,,1985,Sarajevo,Bosnia and Herzegovina
277,Chris McCray,196,87,University of Maryland,1984,Capitol Heights,Maryland
278,Ivan McFarlin,203,108,Oklahoma State University,1982,Missouri City,Texas
279,Pops Mensah-Bonsu,206,108,George Washington University,1983,London,United Kingdom
280,Paul Millsap,203,111,Louisiana Tech University,1985,Monroe,Louisiana
281,Randolph Morris,208,120,University of Kentucky,1986,Houston,Texas
282,Adam Morrison,203,92,Gonzaga University,1984,Glendive,Montana
283,David Noel,198,104,University of North Carolina,1984,Durham,North Carolina
284,Steve Novak,208,102,Marquette University,1983,Libertyville,Illinois
285,Patrick O'Bryant,213,117,Bradley University,1986,Oskaloosa,Iowa
286,Kevinn Pinkney,208,111,"University of Nevada, Reno",1983,Colton,California
287,Leon Powe,203,108,University of California,1984,Berkeley,California
288,Roger Powell,198,106,University of Illinois at Urbana-Champaign,1983,Joliet,Illinois
289,Chris Quinn,188,83,University of Notre Dame,1983,New Orleans,Louisiana
290,Allan Ray,188,86,Villanova University,1984,Bronx,New York
291,J.J. Redick,188,86,,1984,,
292,Jeremy Richardson,198,83,Delta State University,1984,Allentown,Pennsylvania
293,Sergio Rodriguez,190,79,,1986,Tenerife,Spain
294,Rajon Rondo,185,84,University of Kentucky,1986,Louisville,Kentucky
295,Brandon Roy,198,97,University of Washington,1984,Seattle,Washington
296,Thabo Sefolosha,201,99,,1984,Vevey,Switzerland
297,Mouhamed Sene,201,99,,1984,,
298,Cedric Simmons,206,106,North Carolina State University,1986,Shallotte,North Carolina
299,Uros Slokar,208,107,,1983,Ljubljana,Slovenia
300,Craig Smith,201,113,Boston College,1983,Inglewood,California
301,Vassilis Spanoulis,193,88,,1982,Larissa,Greece
302,Tyrus Thomas,206,97,Louisiana State University,1986,Baton Rouge,Louisiana
303,P.J. Tucker,206,97,,1986,,
304,Marcus Vinicius,206,97,,1986,,
305,Justin Williams,208,102,University of Wyoming,1984,Chicago,Illinois
306,Marcus Williams,185,89,University of Alabama,1982,Jackson,Mississippi
307,Arron Afflalo,196,95,"University of California, Los Angeles",1985,Los Angeles,California
308,Blake Ahearn,188,86,Missouri State University,1984,St. Louis,Missouri
309,Lance Allred,211,113,Weber State University,1981,Salt Lake City,Utah
310,Morris Almond,198,102,Rice University,1985,Dalton,Georgia
311,Joel Anthony,206,111,"University of Nevada, Las Vegas",1982,Montreal,Canada
312,Marco Belinelli,196,95,,1986,Bologna,Italy
313,Corey Brewer,206,84,University of Florida,1986,Portland,Tennessee
314,Aaron Brooks,183,73,University of Oregon,1985,Seattle,Washington
315,Wilson Chandler,203,102,DePaul University,1987,Benton Harbor,Michigan
316,Mike Conley,185,79,Ohio State University,1987,Fayetteville,Arkansas
317,Javaris Crittenton,196,90,Georgia Institute of Technology,1987,Atlanta,Georgia
318,Jermareo Davidson,208,104,University of Alabama,1984,Atlanta,Georgia
319,Glen Davis,206,131,Louisiana State University,1986,Baton Rouge,Louisiana
320,Guillermo Diaz,188,87,University of Miami,1985,San Juan,Puerto Rico
321,Jared Dudley,201,102,Boston College,1985,San Diego,California
322,Kevin Durant,206,108,University of Texas at Austin,1988,Washington,District of Columbia
323,Nick Fazekas,211,106,"University of Nevada, Reno",1985,Denver,Colorado
324,Kyrylo Fesenko,216,130,,1986,Dnepropetrovsk,Ukraine
325,Thomas Gardner,196,102,University of Missouri,1985,Portland,Oregon
326,Marcin Gortat,211,108,,1984,Lodz,Poland
327,Aaron Gray,213,122,University of Pittsburgh,1984,Tarzana,California
328,Taurean Green,183,80,University of Florida,1986,Fort Lauderdale,Florida
329,Mike Harris,198,108,Rice University,1983,Hillsboro,Texas
330,Spencer Hawes,216,111,University of Washington,1988,Seattle,Washington
331,Al Horford,208,111,University of Florida,1986,Puerto Plata,Dominican Republic
332,Yi Jianlian,213,108,,1987,He Shan,China
333,Coby Karl,196,97,Boise State University,1983,Great Falls,Montana
334,Carl Landry,206,112,Purdue University,1983,Milwaukee,Wisconsin
335,Keith Langford,193,97,University of Kansas,1983,Fort Worth,Texas
336,Stephane Lasme,203,97,University of Massachusetts Amherst,1982,Port-Gentil,Gabon
337,Acie Law,190,88,Texas A&M University,1985,Dallas,Texas
338,Ian Mahinmi,211,113,,1986,Rouen,France
339,Dominic McGuire,206,99,"California State University, Fresno",1985,San Diego,California
340,Josh McRoberts,208,108,Duke University,1987,Indianapolis,Indiana
341,Jamario Moon,203,92,Meridian Community College,1980,Goodwater,Alabama
342,Juan Carlos,203,92,,1980,,
343,Demetris Nichols,203,97,Syracuse University,1984,Boston,Massachusetts
344,Joakim Noah,211,104,University of Florida,1985,New York,New York
345,Oleksiy Pecherov,213,105,,1985,Donetsk,Ukraine
346,Kosta Perovic,218,108,,1985,Osijek,Croatia
347,Kasib Powell,201,97,Texas Tech University,1981,Teaneck,New Jersey
348,Gabe Pruitt,193,77,University of Southern California,1986,Los Angeles,California
349,Chris Richard,206,122,University of Florida,1984,Lakeland,Florida
350,Cheikh Samb,216,111,,1984,Senegal,
351,Luis Scola,206,108,,1980,Buenos Aires,Argentina
352,Ramon Sessions,190,86,"University of Nevada, Reno",1986,Myrtle Beach,South Carolina
353,Courtney Sims,208,111,University of Michigan,1983,Roslindale,Massachusetts
354,Rodney Stuckey,196,95,Eastern Washington University,1986,Seattle,Washington
355,Al Thornton,203,99,Florida State University,1983,Perry,Georgia
356,Darius Washington,188,88,University of Memphis,1985,Winter Park,Florida
357,Darryl Watkins,211,117,Syracuse University,1984,Paterson,New Jersey
358,C.J. Watson,211,117,,1984,,
359,Sean Williams,208,106,Boston College,1986,Houston,Texas
360,Julian Wright,203,102,University of Kansas,1987,Chicago,Illinois
361,Nick Young,201,95,University of Southern California,1985,Los Angeles,California
362,Thaddeus Young,203,100,Georgia Institute of Technology,1988,New Orleans,Louisiana
363,Alexis Ajinca,218,112,,1988,Saint-Etienne,France
364,Joe Alexander,203,104,West Virginia University,1986,Kaohsiung,Taiwan
365,Ryan Anderson,208,108,University of California,1988,Sacramento,California
366,Darrell Arthur,206,106,University of Kansas,1988,Dallas,Texas
367,D.J. Augustin,206,106,,1988,,
368,Nicolas Batum,203,90,,1988,Lisieux,France
369,Jerryd Bayless,190,90,University of Arizona,1988,Phoenix,Arizona
370,Michael Beasley,206,106,Kansas State University,1989,Frederick,Maryland
371,Mario Chalmers,188,86,University of Kansas,1986,Anchorage,Alaska
372,Joe Crawford,196,95,University of Kentucky,1986,Detroit,Michigan
373,Joey Dorsey,203,121,University of Memphis,1983,Baltimore,Maryland
374,Chris Douglas-Roberts,201,90,University of Memphis,1987,Detroit,Michigan
375,Goran Dragic,190,86,,1986,Ljubljana,Slovenia
376,Rudy Fernandez,198,83,,1985,Palma de Mallorca,Spain
377,Danilo Gallinari,208,102,,1988,Sant'Angelo Lodigiano,Italy
378,Marc Gasol,216,115,,1985,Barcelona,Spain
379,J.R. Giddens,216,115,,1985,,
380,Eric Gordon,193,97,Indiana University,1988,Indianapolis,Indiana
381,Donte Greene,211,102,Syracuse University,1988,Munich,Germany
382,Hamed Haddadi,218,115,,1985,Ahvaz,Islamic Republic of Iran
383,Malik Hairston,198,99,University of Oregon,1987,Detroit,Michigan
384,Roy Hibbert,218,122,Georgetown University,1986,Queens,New York
385,J.J. Hickson,218,122,,1986,,
386,George Hill,190,85,Indiana University-Purdue University Indianapolis,1986,Indianapolis,Indiana
387,Steven Hill,213,112,University of Arkansas,1985,Chanute,Kansas
388,Othello Hunter,203,102,Ohio State University,1986,Winston-Salem,North Carolina
389,Darnell Jackson,206,114,University of Kansas,1985,Oklahoma City,Oklahoma
390,Nathan Jawai,208,127,Midland College,1986,Sydney,Australia
391,Dontell Jefferson,196,88,University of Arkansas,1983,Lithonia,Georgia
392,Trey Johnson,196,98,Jackson State University,1984,Jackson,Mississippi
393,DeAndre Jordan,211,120,Texas A&M University,1988,Houston,Texas
394,Kosta Koufos,213,120,Ohio State University,1989,Canton,Ohio
395,Rob Kurz,206,105,University of Notre Dame,1985,Philadelphia,Pennsylvania
396,Courtney Lee,196,90,Western Kentucky University,1985,Indianapolis,Indiana
397,Brook Lopez,213,124,Stanford University,1988,North Hollywood,California
398,Robin Lopez,213,115,Stanford University,1988,North Hollywood,California
399,Kevin Love,208,113,"University of California, Los Angeles",1988,Santa Monica,California
400,Cartier Martin,201,99,Kansas State University,1984,Crockett,Texas
401,O.J. Mayo,201,99,,1984,,
402,Luc Mbah,201,99,,1984,,
403,JaVale McGee,213,122,"University of Nevada, Reno",1988,Flint,Michigan
404,Anthony Morrow,196,95,Georgia Institute of Technology,1985,Charlotte,North Carolina
405,DeMarcus Nelson,193,90,Duke University,1985,Oakland,California
406,Greg Oden,213,113,Ohio State University,1988,Buffalo,New York
407,Anthony Randolph,208,92,Louisiana State University,1989,Worzbach,Germany
408,Derrick Rose,190,86,University of Memphis,1988,Chicago,Illinois
409,Brandon Rush,198,99,University of Kansas,1985,Kansas City,Missouri
410,Walter Sharpe,206,111,University of Alabama at Birmingham,1986,Huntsville,Alabama
411,Sean Singletary,183,83,University of Virginia,1985,Philadelphia,Pennsylvania
412,Marreese Speights,208,115,University of Florida,1987,St. Petersburg,Florida
