,name,height,weight,collage,born,birth_city,birth_state
676,Anthony Bennett,203,111,"University of Nevada, Las Vegas",1993,Toronto,Canada
677,Vander Blue,193,90,Marquette University,1992,Milwaukee,Wisconsin
678,Lorenzo Brown,196,85,North Carolina State University,1990,Roswell,Georgia
679,Reggie Bullock,201,92,University of North Carolina,1991,Baltimore,Maryland
680,Trey Burke,185,86,University of Michigan,1992,Columbus,Ohio
681,Dwight Buycks,190,86,Marquette University,1989,Milwaukee,Wisconsin
682,Nick Calathes,198,96,University of Florida,1989,Casselberry,Florida
683,Kentavious Caldwell-Pope,196,92,University of Georgia,1993,Thomaston,Georgia
684,Isaiah Canaan,183,91,Murray State University,1991,Biloxi,Mississippi
685,Michael Carter-Williams,198,86,Syracuse University,1991,Hamilton,Massachusetts
686,Dionte Christmas,196,92,Temple University,1986,Philadelphia,Pennsylvania
687,Ian Clark,190,79,Belmont University,1991,Memphis,Tennessee
688,Robert Covington,206,97,Tennessee State University,1990,Bellwood,Illinois
689,Allen Crabbe,198,95,University of California,1992,Los Angeles,California
690,Seth Curry,188,83,Duke University,1990,Charlotte,North Carolina
691,Troy Daniels,193,92,Virginia Commonwealth University,1991,Roanoke,Virginia
692,Luigi Datome,203,97,,1987,Montebelluna,Italy
693,Brandon Davies,208,108,Brigham Young University,1991,Philadelphia,Pennsylvania
694,Dewayne Dedmon,213,111,University of Southern California,1989,Lancaster,California
695,Matthew Dellavedova,193,89,Saint Mary's College of California,1990,Maryborough,Australia
696,Gorgui Dieng,211,109,University of Louisville,1990,Kebemer,Senegal
697,Shane Edwards,201,99,University of Arkansas at Little Rock,1987,Los Angeles,California
698,Vitor Faverani,211,117,,1988,Porto Alegre,Brazil
699,Carrick Felix,198,91,Arizona State University,1990,Las Vegas,Arizona
700,Jamaal Franklin,196,86,San Diego State University,1991,Moreno Valley,California
701,Rudy Gobert,216,111,,1992,Saint-Quentin,France
702,Archie Goodwin,196,90,University of Kentucky,1994,Little Rock,Arkansas
703,Jorge Gutierrez,190,86,University of California,1988,Chihuahua,Mexico
704,Justin Hamilton,213,117,Louisiana State University,1990,Newport Beach,California
705,Elias Harris,203,108,Gonzaga University,1989,Speyer,Germany
706,Solomon Hill,201,102,University of Arizona,1991,Los Angeles,California
707,Scotty Hopson,201,92,University of Tennessee,1989,Hopkinsville,Kentucky
708,Robbie Hummel,203,97,Purdue University,1989,Valparaiso,Indiana
709,Sergey Karasev,201,94,,1993,St. Petersburg,Russia
710,Ryan Kelly,211,104,Duke University,1991,Carmel,New York
711,Ognjen Kuzmic,216,113,,1990,Doboj,Bosnia and Herzegovina
712,Shane Larkin,180,79,University of Miami,1992,Cincinnati,Ohio
713,Ricky Ledo,201,88,,1992,Providence,Rhode Island
714,Alex Len,216,117,University of Maryland,1993,Antratsit,Ukraine
715,Ray McCallum,190,86,University of Detroit Mercy,1991,Madison,Wisconsin
716,C.J. McCollum,190,86,,1991,,
717,Ben McLemore,196,88,University of Kansas,1993,St. Louis,Missouri
718,Gal Mekel,190,86,Wichita State University,1988,Petah Tikva,Israel
719,Shabazz Muhammad,198,101,"University of California, Los Angeles",1992,Los Angeles,California
